epoch,mean_loss,min_loss,max_loss,mean_val_loss,min_val_loss,max_val_loss,mean_recon,min_recon,max_recon,mean_val_recon,min_val_recon,max_val_recon,mean_kl,min_kl,max_kl,mean_val_kl,min_val_kl,max_val_kl
64,nan,nan,nan,nan,nan,nan,1474.86925,551.3853,2657.02,3931.2842499999997,1073.202,10196.7959,nan,nan,nan,nan,nan,nan
65,nan,nan,nan,nan,nan,nan,1397.00175,561.4458,2648.7737,3977.96065,1114.5885,9809.5352,nan,nan,nan,nan,nan,nan
66,nan,nan,nan,nan,nan,nan,1419.344225,644.6717,2648.0483,3765.8570499999996,988.5234,9525.2158,nan,nan,nan,nan,nan,nan
67,nan,nan,nan,nan,nan,nan,1399.952675,562.9247,2668.3496,3649.65075,942.7584,9630.0996,nan,nan,nan,nan,nan,nan
68,nan,nan,nan,nan,nan,nan,1429.01435,566.3369,2707.8916,3883.455575,979.9414,9621.1865,nan,nan,nan,nan,nan,nan
69,nan,nan,nan,nan,nan,nan,1432.408,516.6683,2658.7795,3722.9944250000003,1043.8379,9124.6123,nan,nan,nan,nan,nan,nan
70,nan,nan,nan,nan,nan,nan,1417.2784000000001,533.0589,2657.4785,3818.12845,1088.8384,9554.3613,nan,nan,nan,nan,nan,nan
71,nan,nan,nan,nan,nan,nan,1398.3883999999998,530.6732,2700.9851,3673.15585,1105.7739,8601.0273,nan,nan,nan,nan,nan,nan
72,nan,nan,nan,nan,nan,nan,1400.7135000000003,550.1556,2686.8389,3599.3262500000005,1217.255,8484.2754,nan,nan,nan,nan,nan,nan
73,nan,nan,nan,nan,nan,nan,1382.2152999999998,553.1261,2686.9329,3436.90675,1064.7944,8161.8076,nan,nan,nan,nan,nan,nan
74,nan,nan,nan,nan,nan,nan,1374.9004,515.9843,2662.6055,3433.725375,1002.5016,8092.3706,nan,nan,nan,nan,nan,nan
75,nan,nan,nan,nan,nan,nan,1358.49725,506.7627,2651.0007,3404.311875,1097.142,8138.002,nan,nan,nan,nan,nan,nan
76,nan,nan,nan,nan,nan,nan,1379.4338249999998,520.3847,2712.8594,3280.68885,1041.2596,7878.7515,nan,nan,nan,nan,nan,nan
77,nan,nan,nan,nan,nan,nan,1382.6318,514.5925,2695.3074,3327.181175,1114.3937,8110.4595,nan,nan,nan,nan,nan,nan
78,nan,nan,nan,nan,nan,nan,1397.318125,566.9249,2681.9944,3309.230375,1173.619,7754.9092,nan,nan,nan,nan,nan,nan
79,nan,nan,nan,nan,nan,nan,1341.45005,502.4005,2675.4612,3383.3371500000003,1119.4171,8164.1323,nan,nan,nan,nan,nan,nan
80,nan,nan,nan,nan,nan,nan,1332.5358499999998,500.996,2647.4995,3023.6986500000003,1075.7733,6923.083,nan,nan,nan,nan,nan,nan
81,nan,nan,nan,nan,nan,nan,1342.5484999999999,485.519,2641.1553,3080.53465,1102.2247,7154.0068,nan,nan,nan,nan,nan,nan
82,nan,nan,nan,nan,nan,nan,1318.7812000000001,479.8921,2634.6475,2921.1036,1011.0329,6726.2822,nan,nan,nan,nan,nan,nan
83,nan,nan,nan,nan,nan,nan,1377.53705,480.3342,2691.167,2925.631775,1187.177,6297.3901,nan,nan,nan,nan,nan,nan
84,nan,nan,nan,nan,nan,nan,1329.6233,493.6833,2694.459,2826.6611,1098.8295,6064.6118,nan,nan,nan,nan,nan,nan
85,nan,nan,nan,nan,nan,nan,1312.72975,491.6376,2674.6338,2772.9375250000003,1000.0587,5905.5752,nan,nan,nan,nan,nan,nan
86,nan,nan,nan,nan,nan,nan,1321.464575,468.7612,2670.6802,2805.1078500000003,1080.0421,5877.5493,nan,nan,nan,nan,nan,nan
87,nan,nan,nan,nan,nan,nan,1289.56565,483.3882,2628.8975,2711.5850750000004,993.2612,5735.52,nan,nan,nan,nan,nan,nan
88,nan,nan,nan,nan,nan,nan,1300.0023749999998,545.4297,2683.9966,2594.6516,1019.7131,5181.0757,nan,nan,nan,nan,nan,nan
89,nan,nan,nan,nan,nan,nan,1304.13235,546.243,2674.3379,2677.28955,995.2535,5641.8271,nan,nan,nan,nan,nan,nan
90,nan,nan,nan,nan,nan,nan,1260.3086999999998,506.1846,2648.0376,2392.3989500000002,960.183,4352.9556,nan,nan,nan,nan,nan,nan
91,nan,nan,nan,nan,nan,nan,1300.765875,504.3122,2647.3462,2491.00155,1043.7267,4766.748,nan,nan,nan,nan,nan,nan
92,nan,nan,nan,nan,nan,nan,1257.6780999999999,468.2932,2653.4163,2563.7995,1036.6941,4482.374,nan,nan,nan,nan,nan,nan
93,nan,nan,nan,nan,nan,nan,1311.98275,442.5704,2668.949,2581.081275,1354.4821,4309.2559,nan,nan,nan,nan,nan,nan
94,nan,nan,nan,nan,nan,nan,1285.2942,452.7007,2645.5774,2265.29915,968.4601,3768.395,nan,nan,nan,nan,nan,nan
95,nan,nan,nan,nan,nan,nan,1305.458525,490.8935,2657.7502,2270.0002000000004,980.5689,3958.9285,nan,nan,nan,nan,nan,nan
96,nan,nan,nan,nan,nan,nan,1315.9852999999998,445.1214,2643.9089,2337.652575,975.4653,3991.1011,nan,nan,nan,nan,nan,nan
97,nan,nan,nan,nan,nan,nan,1262.659325,438.6728,2689.1426,2301.120575,967.7929,3938.1506,nan,nan,nan,nan,nan,nan
98,nan,nan,nan,nan,nan,nan,1255.13795,458.301,2723.512,2295.66405,1005.6766,3885.7896,nan,nan,nan,nan,nan,nan
99,nan,nan,nan,nan,nan,nan,1250.2297499999997,422.1414,2656.2666,2340.06595,1208.264,3800.5752,nan,nan,nan,nan,nan,nan
100,nan,nan,nan,nan,nan,nan,1268.1836750000002,437.2181,2642.5356,2440.58485,1113.5297,4112.0225,nan,nan,nan,nan,nan,nan
101,nan,nan,nan,nan,nan,nan,1230.6995,411.6468,2646.7588,2332.6555749999998,1233.5137,3973.0532,nan,nan,nan,nan,nan,nan
102,nan,nan,nan,nan,nan,nan,1228.943425,416.2632,2651.8694,2175.6692000000003,1075.5599,3407.272,nan,nan,nan,nan,nan,nan
103,nan,nan,nan,nan,nan,nan,1261.462225,406.2005,2681.0437,2125.8172250000002,1155.0811,3170.699,nan,nan,nan,nan,nan,nan
104,nan,nan,nan,nan,nan,nan,1265.069675,440.1741,2689.3799,2121.344775,1052.7494,3107.5771,nan,nan,nan,nan,nan,nan
105,nan,nan,nan,nan,nan,nan,1204.10345,393.7701,2671.896,2175.487725,1106.4332,3279.5144,nan,nan,nan,nan,nan,nan
106,nan,nan,nan,nan,nan,nan,1243.2974000000002,456.6082,2648.7671,2330.783525,1240.582,3594.365,nan,nan,nan,nan,nan,nan
107,nan,nan,nan,nan,nan,nan,1185.2395000000001,454.2213,2651.2493,2012.49645,1136.3121,2830.9697,nan,nan,nan,nan,nan,nan
108,nan,nan,nan,nan,nan,nan,1206.1263,456.7643,2669.0269,2064.26645,1101.8092,2950.1746,nan,nan,nan,nan,nan,nan
109,nan,nan,nan,nan,nan,nan,1228.2593,417.903,2649.854,1975.569225,1101.5945,2942.5396,nan,nan,nan,nan,nan,nan
110,nan,nan,nan,nan,nan,nan,1217.239225,403.7882,2650.5037,1972.6496,1112.8525,2859.1199,nan,nan,nan,nan,nan,nan
111,nan,nan,nan,nan,nan,nan,1237.785725,392.765,2685.9814,1954.5150000000003,1021.9413,2939.8762,nan,nan,nan,nan,nan,nan
112,nan,nan,nan,nan,nan,nan,1236.333075,410.2357,2694.0845,1991.8318749999999,1221.847,2988.0757,nan,nan,nan,nan,nan,nan
113,nan,nan,nan,nan,nan,nan,1201.0753,404.135,2647.3079,1959.3885750000002,1203.8739,2996.5474,nan,nan,nan,nan,nan,nan
114,nan,nan,nan,nan,nan,nan,1226.903225,416.423,2640.3894,2036.2436,1171.5409,3014.0793,nan,nan,nan,nan,nan,nan
115,nan,nan,nan,nan,nan,nan,1203.07545,379.9785,2662.1719,1889.299125,1213.1849,2873.4526,nan,nan,nan,nan,nan,nan
116,nan,nan,nan,nan,nan,nan,1188.308125,393.5799,2641.458,1840.475925,1126.9082,2901.9634,nan,nan,nan,nan,nan,nan
117,nan,nan,nan,nan,nan,nan,1183.191425,390.8184,2657.9609,1849.312625,1065.7917,2821.9739,nan,nan,nan,nan,nan,nan
118,nan,nan,nan,nan,nan,nan,1193.385,386.7182,2650.3208,2004.4880750000002,1095.0226,3030.5266,nan,nan,nan,nan,nan,nan
119,nan,nan,nan,nan,nan,nan,1187.5240749999998,412.6563,2653.0186,2036.5170750000002,1150.9327,2860.9778,nan,nan,nan,nan,nan,nan
120,nan,nan,nan,nan,nan,nan,1189.65795,409.6741,2671.4597,1961.38005,1189.3907,2962.293,nan,nan,nan,nan,nan,nan
121,nan,nan,nan,nan,nan,nan,1190.72755,400.088,2665.0786,1971.200375,1032.1986,2996.7698,nan,nan,nan,nan,nan,nan
