epoch,kl,loss,recon,val_kl,val_loss,val_recon,learning_rate
105,370.9362,948.3276,935.4685,291.8041,3289.6301,3279.5144,0.0010
106,343.0372,1039.3882,1027.3820,293.6671,3604.6433,3594.3650,0.0010
107,380.2116,887.7435,874.3094,299.5320,2841.5532,2830.9697,0.0010
108,374.8460,940.4224,927.0527,299.4067,2960.8533,2950.1746,0.0010
109,374.8880,1010.1316,996.6356,304.5587,2629.6902,2618.7261,0.0010
110,348.5007,1012.6039,999.9416,309.5486,2654.9111,2643.6641,0.0010
111,405.5064,1082.4233,1067.5548,311.7435,2511.4692,2500.0386,0.0010
112,369.5479,998.4977,984.8245,299.6446,2542.4756,2531.3889,0.0010
113,352.0325,928.9586,915.8162,297.2990,2320.6824,2309.5830,0.0010
114,370.8338,989.4241,975.4559,309.7161,2300.4565,2288.7905,0.0010
115,364.0438,974.8225,960.9887,301.5813,2099.9763,2088.5164,0.0010
116,351.4424,945.4226,931.9506,311.6932,2076.5413,2064.5933,0.0010
117,367.7836,908.2062,893.9852,320.7350,2291.5771,2279.1753,0.0010
118,365.6685,963.9392,949.6782,317.8822,2574.0801,2561.6826,0.0010
119,387.2840,906.9396,891.7065,303.6963,2788.7886,2776.8433,0.0010
120,368.6001,967.1660,952.5449,304.7370,2383.6731,2371.5852,0.0010
121,362.6322,992.0914,977.5861,299.9664,2628.2715,2616.2729,0.0010
122,380.3607,984.8935,969.5523,336.9276,2117.7751,2104.1860,0.0010
123,409.5944,937.7029,921.0461,324.2926,2058.0166,2044.8286,0.0010
124,366.8094,924.2973,909.2581,320.1893,2266.3726,2253.2451,0.0010
125,362.1021,804.5740,789.6071,302.8333,2604.7363,2592.2192,0.0010
126,384.5970,870.1130,854.0883,324.2240,1982.1129,1968.6035,0.0010
127,391.4822,916.0585,899.6162,325.0846,2059.9604,2046.3069,0.0010
128,373.6738,938.5668,922.7480,306.0993,2230.3735,2217.4155,0.0010
129,377.5336,1090.3838,1074.2758,311.0658,2472.4861,2459.2139,0.0010
130,400.0144,951.6606,934.4599,307.3624,2327.4780,2314.2615,0.0010
131,378.9821,950.7911,934.3687,295.0638,2558.9148,2546.1287,0.0010
132,398.0408,832.6849,815.3037,319.8877,1947.8508,1933.8823,0.0010
133,398.0784,867.7026,850.1873,295.3111,2696.2317,2683.2380,0.0010
134,382.6511,929.4844,912.5203,300.9149,2261.4519,2248.1113,0.0010
135,408.6290,879.5268,861.2747,302.4063,2629.0093,2615.5017,0.0010
136,367.2893,810.8066,794.2786,311.6774,2526.8733,2512.8477,0.0010
137,435.9138,805.3760,785.6146,314.9268,2358.2268,2343.9502,0.0010
138,396.4019,866.6707,848.5684,298.1704,2544.3389,2530.7227,0.0010
139,417.8237,794.5131,775.2932,314.6653,2107.9780,2093.5034,0.0010
140,373.6897,799.6472,782.3331,298.8361,2292.5601,2278.7139,0.0010
141,376.0692,803.8470,786.2971,302.3549,2912.3711,2898.2612,0.0010
142,380.9551,800.7076,782.8027,294.6874,2270.5327,2256.6821,0.0010
143,382.8398,792.0341,773.9130,302.9509,2096.3508,2082.0112,0.0010
144,389.1897,754.0967,735.5455,298.5496,2398.8489,2384.6182,0.0010
145,421.1236,740.1288,719.9149,305.4938,2190.5603,2175.8965,0.0010
146,381.0875,815.1074,796.6881,300.6889,2266.5295,2251.9963,0.0010
147,401.4746,810.4214,790.8830,302.6691,2414.9277,2400.1978,0.0010
148,396.8399,880.3510,860.9058,290.9996,2324.6133,2310.3540,0.0010
149,393.7829,779.5844,760.1576,290.5896,2537.1135,2522.7778,0.0010
150,385.4890,827.3207,808.1747,291.2763,2506.8572,2492.3904,0.0010
151,412.5229,759.0947,738.4685,290.1189,2117.9746,2103.4688,0.0010
152,416.4077,747.5984,726.7781,296.3251,2009.5825,1994.7664,0.0010
153,421.3229,804.2192,783.1530,281.7153,2346.2964,2332.2107,0.0010
154,368.8666,832.0245,813.5812,298.8167,1848.5111,1833.5703,0.0010
155,401.6670,793.2844,773.2011,311.1305,2053.9822,2038.4257,0.0010
156,395.6769,800.3199,780.5359,300.6278,2097.5847,2082.5532,0.0010
157,388.3945,864.3427,844.9229,297.8304,2339.9329,2325.0415,0.0010
158,399.4680,769.2657,749.2924,292.3152,2538.9883,2524.3726,0.0010
159,387.9849,759.9187,740.5195,305.8654,1920.4504,1905.1571,0.0010
160,413.7818,792.2736,771.5845,300.6467,2103.0479,2088.0154,0.0010
161,408.5886,777.7393,757.3099,303.5762,2083.4558,2068.2771,0.0010
162,409.8360,713.8660,693.3741,295.2864,2297.0696,2282.3052,0.0010
163,422.2601,834.6989,813.5858,309.8749,1675.7142,1660.2206,0.0010
164,425.9193,788.7498,767.4539,305.7794,1684.5835,1669.2946,0.0010
165,444.6363,776.2888,754.0571,308.5400,1908.3248,1892.8977,0.0010
166,429.2520,698.1567,676.6942,307.7160,1940.1097,1924.7239,0.0010
167,389.0261,748.5293,729.0779,303.1622,1780.5585,1765.4004,0.0010
168,416.2827,719.8448,699.0308,309.3312,2055.9988,2040.5322,0.0010
169,392.8300,913.5078,893.8663,304.4696,2289.7793,2274.5557,0.0010
170,410.0787,691.7612,671.2573,315.9908,2022.5179,2006.7185,0.0010
171,441.4849,706.6839,684.6096,291.5926,2345.9541,2331.3745,0.0010
172,411.9499,666.0087,645.4112,304.7783,2349.7200,2334.4812,0.0010
173,405.7456,842.7791,822.4918,311.2071,2208.3784,2192.8179,0.0010
174,403.9393,799.2664,779.0695,292.3773,1935.0917,1920.4729,0.0010
175,390.3029,773.9713,754.4561,306.9503,2033.0519,2017.7043,0.0010
176,406.6223,755.0366,734.7054,283.6071,2119.1694,2104.9890,0.0010
177,394.8784,798.9311,779.1873,293.4577,1929.1835,1914.5107,0.0010
178,405.1981,922.9734,902.7134,292.8838,1708.2184,1693.5742,0.0010
179,406.1678,712.2564,691.9481,293.1176,1939.5690,1924.9131,0.0010
180,393.4941,785.0803,765.4056,288.6831,2069.2651,2054.8308,0.0010
181,389.9869,712.9416,693.4423,293.2773,1846.9843,1832.3203,0.0010
182,404.0422,765.8918,745.6897,303.7374,1598.1650,1582.9780,0.0010
183,416.2007,797.8619,777.0518,293.2969,1917.5745,1902.9097,0.0010
184,387.5007,718.7683,699.3932,284.1158,2266.7603,2252.5544,0.0010
185,370.8582,765.2908,746.7479,294.7481,1714.9662,1700.2288,0.0010
186,408.3748,651.0059,630.5872,297.8688,1746.6394,1731.7458,0.0010
187,394.7497,698.7695,679.0322,297.4335,1984.9136,1970.0420,0.0010
188,413.2807,671.8887,651.2247,309.8671,1590.3741,1574.8807,0.0010
189,388.4596,726.5090,707.0861,305.7948,1599.6379,1584.3481,0.0010
190,392.1806,829.4769,809.8679,300.7614,2035.1530,2020.1150,0.0010
191,397.1048,838.6140,818.7589,303.3586,1856.7612,1841.5933,0.0010
192,397.1407,747.9783,728.1210,292.2618,1964.0847,1949.4717,0.0010
193,402.8200,755.4877,735.3466,318.0123,1570.3259,1554.4253,0.0010
